사용승인일자,화재조기진압용스프링클러(H)설치여부,건축물일련번호,스프링클러(AV)설치여부,주소,시도명,시군구명,읍면동명,스프링클러(H)설치여부,화재조기진압용스프링클러(AV)설치여부,간이스프링클러(H)설치여부,대상물명,간이스프링클러(AV)설치여부
19131022," ""N""          "," ""11000000000054"""," ""N""      "," ""서울특별시 중구 남산동1가""      "," ""서울특별시"""," ""중구""    "," ""남산동1가""  "," ""N""     "," ""N""           "," ""N""    "," ""더로드서울""                                        "," ""N"""
19341030," ""N""          "," ""11000000000153"""," ""N""      "," ""서울특별시 중구 북창동""         "," ""서울특별시"""," ""중구""    "," ""북창동""     "," ""N""     "," ""N""           "," ""N""    "," ""피넛호텔""                                          "," ""N"""
19500302," ""N""          "," ""11000000000422"""," ""N""      "," ""서울특별시 종로구 권농동""       "," ""서울특별시"""," ""종로구""  "," ""권농동""     "," ""N""     "," ""N""           "," ""N""    "," ""순라 스테이""                                       "," ""N"""
19520913," ""N""          "," ""11000000000487"""," ""N""      "," ""서울특별시 용산구 남영동""       "," ""서울특별시"""," ""용산구""  "," ""남영동""     "," ""N""     "," ""N""           "," ""N""    "," ""로망스모텔(로망스여관)""                            "," ""N"""
19531201," ""N""          "," ""11000000000526"""," ""N""      "," ""서울특별시 종로구 신문로2가""    "," ""서울특별시"""," ""종로구""  "," ""신문로2가""  "," ""N""     "," ""N""           "," ""N""    "," ""서대문여관(공가)""                                  "," ""N"""
19540401," ""N""          "," ""11000000000539"""," ""N""      "," ""서울특별시 중구 충무로5가""      "," ""서울특별시"""," ""중구""    "," ""충무로5가""  "," ""N""     "," ""N""           "," ""N""    "," ""남경빌딩""                                          "," ""N"""
19541201," ""N""          "," ""11000000000601"""," ""N""      "," ""서울특별시 중구 회현동1가""      "," ""서울특별시"""," ""중구""    "," ""회현동1가""  "," ""N""     "," ""N""           "," ""N""    "," ""(선임유예/~240722)뉴썬게스트하우스""                "," ""N"""
19551201," ""N""          "," ""11000000000675"""," ""N""      "," ""서울특별시 중구 북창동""         "," ""서울특별시"""," ""중구""    "," ""북창동""     "," ""N""     "," ""N""           "," ""N""    "," ""은성빌딩""                                          "," ""N"""
19560130," ""N""          "," ""11000000000685"""," ""N""      "," ""서울특별시 중구 명동2가""        "," ""서울특별시"""," ""중구""    "," ""명동2가""    "," ""N""     "," ""N""           "," ""N""    "," ""명동2가 54-2 건물(꽁돈삼겹살 건물)""                "," ""N"""
19561001," ""N""          "," ""11000000000744"""," ""N""      "," ""서울특별시 중구 북창동""         "," ""서울특별시"""," ""중구""    "," ""북창동""     "," ""N""     "," ""N""           "," ""N""    "," ""올스테이 호스텔""                                   "," ""N"""
19561001," ""N""          "," ""11000000000748"""," ""N""      "," ""서울특별시 중구 필동2가""        "," ""서울특별시"""," ""중구""    "," ""필동2가""    "," ""N""     "," ""N""           "," ""N""    "," ""한일장모텔""                                        "," ""N"""
19561001," ""N""          "," ""11000000000753"""," ""N""      "," ""서울특별시 중구 신당동""         "," ""서울특별시"""," ""중구""    "," ""신당동""     "," ""N""     "," ""N""           "," ""N""    "," ""신양장""                                            "," ""N"""
19570402," ""N""          "," ""11000000000799"""," ""N""      "," ""서울특별시 중구 충무로3가""      "," ""서울특별시"""," ""중구""    "," ""충무로3가""  "," ""N""     "," ""N""           "," ""N""    "," ""삼익프린팅""                                        "," ""N"""
19571001," ""N""          "," ""11000000000839"""," ""N""      "," ""서울특별시 중구 오장동""         "," ""서울특별시"""," ""중구""    "," ""오장동""     "," ""N""     "," ""N""           "," ""N""    "," ""조일빌딩""                                          "," ""N"""
